2011-04-30,2,0,4,0,6,0,1,0.472500,0.464021,0.503333,0.235075,5312
2011-05-21,2,0,5,0,6,0,1,0.602500,0.571975,0.626667,0.120650,5805
2011-06-03,2,0,6,0,5,1,1,0.620000,0.587133,0.354167,0.253121,5312
2011-06-04,2,0,6,0,6,0,1,0.635000,0.594696,0.456250,0.123142,5342
2011-06-13,2,0,6,0,1,1,1,0.635000,0.601654,0.494583,0.305350,5020
2011-06-15,2,0,6,0,3,1,1,0.626667,0.587754,0.471667,0.167912,5180
2011-06-18,2,0,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408,5119
2011-06-25,3,0,6,0,6,0,1,0.695000,0.643313,0.483333,0.209571,5202
2011-06-26,3,0,6,0,0,0,1,0.680000,0.637629,0.513333,0.094533,5305
2011-06-29,3,0,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,5225
2011-06-30,3,0,6,0,4,1,1,0.696667,0.637008,0.434167,0.185312,5515
2011-07-01,3,0,7,0,5,1,1,0.722500,0.652162,0.396250,0.102608,5362
2011-07-02,3,0,7,0,6,0,1,0.738333,0.667308,0.444583,0.115062,5119
2011-07-04,3,0,7,1,1,0,2,0.726667,0.665417,0.637917,0.081479,6043
2011-07-09,3,0,7,0,6,0,1,0.733333,0.664158,0.609167,0.167912,5336
2011-07-14,3,0,7,0,4,1,1,0.680833,0.635104,0.476250,0.240667,5084
2011-07-15,3,0,7,0,5,1,1,0.663333,0.624371,0.591250,0.182833,5538
2011-07-16,3,0,7,0,6,0,1,0.686667,0.638263,0.585000,0.208342,5923
2011-07-17,3,0,7,0,0,0,1,0.719167,0.669833,0.604167,0.245033,5302
2011-08-20,3,0,8,0,6,0,1,0.697500,0.648996,0.674167,0.104467,5191
2011-08-23,3,0,8,0,2,1,1,0.640833,0.606067,0.455417,0.146763,5895
2011-08-24,3,0,8,0,3,1,1,0.673333,0.630692,0.605000,0.253108,5130
2011-08-30,3,0,8,0,2,1,1,0.639167,0.594704,0.548333,0.125008,5204
2011-08-31,3,0,8,0,3,1,1,0.656667,0.611121,0.597917,0.083333,5058
2011-09-01,3,0,9,0,4,1,1,0.655000,0.614921,0.639167,0.141796,5115
